,time,label,value,group
0,0,y0,1.0,y_group
1,1,y0,0.9473684210526316,y_group
2,2,y0,0.8947368421052632,y_group
3,3,y0,0.8421052631578947,y_group
4,4,y0,0.7894736842105263,y_group
5,5,y0,0.736842105263158,y_group
6,6,y0,0.6842105263157895,y_group
7,7,y0,0.631578947368421,y_group
8,8,y0,0.5789473684210527,y_group
9,9,y0,0.5263157894736843,y_group
10,10,y0,0.4736842105263158,y_group
11,11,y0,0.42105263157894735,y_group
12,12,y0,0.368421052631579,y_group
13,13,y0,0.3157894736842106,y_group
14,14,y0,0.26315789473684215,y_group
15,15,y0,0.21052631578947367,y_group
16,16,y0,0.1578947368421053,y_group
17,17,y0,0.10526315789473695,y_group
18,18,y0,0.052631578947368474,y_group
19,19,y0,0.0,y_group
20,0,y1,1.0,y_group
21,1,y1,1.0,y_group
22,2,y1,1.0,y_group
23,3,y1,1.0,y_group
24,4,y1,1.0,y_group
25,5,y1,1.0,y_group
26,6,y1,1.0,y_group
27,7,y1,1.0,y_group
28,8,y1,1.0,y_group
29,9,y1,1.0,y_group
30,10,y1,1.0,y_group
31,11,y1,1.0,y_group
32,12,y1,1.0,y_group
33,13,y1,1.0,y_group
34,14,y1,1.0,y_group
35,15,y1,1.0,y_group
36,16,y1,1.0,y_group
37,17,y1,1.0,y_group
38,18,y1,1.0,y_group
39,19,y1,1.0,y_group
40,0,y2,1.0,y_group
41,1,y2,1.0526315789473684,y_group
42,2,y2,1.1052631578947367,y_group
43,3,y2,1.1578947368421053,y_group
44,4,y2,1.2105263157894737,y_group
45,5,y2,1.263157894736842,y_group
46,6,y2,1.3157894736842106,y_group
47,7,y2,1.368421052631579,y_group
48,8,y2,1.4210526315789473,y_group
49,9,y2,1.4736842105263157,y_group
50,10,y2,1.526315789473684,y_group
51,11,y2,1.5789473684210527,y_group
52,12,y2,1.631578947368421,y_group
53,13,y2,1.6842105263157894,y_group
54,14,y2,1.736842105263158,y_group
55,15,y2,1.7894736842105263,y_group
56,16,y2,1.8421052631578947,y_group
57,17,y2,1.894736842105263,y_group
58,18,y2,1.9473684210526314,y_group
59,19,y2,2.0,y_group
60,0,y3,1.0,y_group
61,1,y3,1.1052631578947367,y_group
62,2,y3,1.2105263157894737,y_group
63,3,y3,1.3157894736842106,y_group
64,4,y3,1.4210526315789473,y_group
65,5,y3,1.526315789473684,y_group
66,6,y3,1.631578947368421,y_group
67,7,y3,1.736842105263158,y_group
68,8,y3,1.8421052631578947,y_group
69,9,y3,1.9473684210526314,y_group
70,10,y3,2.052631578947368,y_group
71,11,y3,2.1578947368421053,y_group
72,12,y3,2.263157894736842,y_group
73,13,y3,2.3684210526315788,y_group
74,14,y3,2.473684210526316,y_group
75,15,y3,2.5789473684210527,y_group
76,16,y3,2.6842105263157894,y_group
77,17,y3,2.789473684210526,y_group
78,18,y3,2.894736842105263,y_group
79,19,y3,3.0,y_group
80,0,y4,1.0,y_group
81,1,y4,1.1578947368421053,y_group
82,2,y4,1.3157894736842106,y_group
83,3,y4,1.4736842105263157,y_group
84,4,y4,1.631578947368421,y_group
85,5,y4,1.7894736842105263,y_group
86,6,y4,1.9473684210526314,y_group
87,7,y4,2.1052631578947367,y_group
88,8,y4,2.263157894736842,y_group
89,9,y4,2.4210526315789473,y_group
90,10,y4,2.5789473684210527,y_group
91,11,y4,2.7368421052631575,y_group
92,12,y4,2.894736842105263,y_group
93,13,y4,3.052631578947368,y_group
